n,id,domain,era,claim,bom_hints,meso_hint,strength,contested
239,mc-c-239,archaeology_ad1_200,ad1_200,"Post-disaster social reset",4 Nephi 1:2–3,"Communal phase",low,yes
240,mc-c-240,archaeology_ad1_200,ad1_200,"City rebuilding",4 Nephi 1:7–8,"Reconstruction",medium,no
241,mc-c-241,archaeology_ad1_200,ad1_200,"Some cities permanently inundated",4 Nephi 1:9,"Permanent water cover",medium,yes
242,mc-c-242,archaeology_ad1_200,ad1_200,"Unifying cult spread",4 Nephi 1:1–5,"Wide cult integration",low,yes
243,mc-c-243,archaeology_ad1_200,ad1_200,"Demilitarization in long peace",4 Nephi 1:4,"Reduced fortification",low,yes
244,mc-c-244,archaeology_ad1_200,ad1_200,"Road florescence in peace",3 Nephi 6:8,"Road building",medium,no
245,mc-c-245,archaeology_ad1_200,ad1_200,"Itinerant teachers",4 Nephi 1:1,"Religious specialists",low,no
246,mc-c-246,archaeology_ad1_200,ad1_200,"Scribal continuity across catastrophe",3 Nephi 23,"Record survival",medium,no
247,mc-c-247,archaeology_ad200_400,ad200_400,"Return of class distinctions",4 Nephi 1:24–26,"Re-stratification",medium,no
248,mc-c-248,archaeology_ad200_400,ad200_400,"Rival churches/sects",4 Nephi 1:26–29,"Religious conflict",medium,no
249,mc-c-249,archaeology_ad200_400,ad200_400,"Prestige goods return",4 Nephi 1:24,"Prestige economy",medium,no
250,mc-c-250,archaeology_ad200_400,ad200_400,"Remilitarization",Mormon 1–2,"Forts rebuilt",medium,no
251,mc-c-251,archaeology_ad200_400,ad200_400,"Major wars AD 320s–380s narrative",Mormon 1–6,"Epiclassic conflict analogy",low,yes
252,mc-c-252,archaeology_ad200_400,ad200_400,"Abandonment of southern lands",Mormon 2:27–29,"South depopulation",medium,yes
253,mc-c-253,archaeology_ad200_400,ad200_400,"Isthmus as treaty border",Mormon 2:28–29,"Neck boundary",high,no
254,mc-c-254,archaeology_ad200_400,ad200_400,"Final wars north of neck",Mormon 3–6,"Gulf lowland theaters",medium,yes
255,mc-c-255,archaeology_ad200_400,ad200_400,"Hilltop last stands",Mormon 6,"Refuge hills",medium,no
256,mc-c-256,archaeology_ad200_400,ad200_400,"Secret combinations dominate",Mormon 1–2,"Factional collapse",medium,no
257,mc-c-257,archaeology_ad200_400,ad200_400,"Sacrifice intensifies",Mormon 4:14–15,"Sacrifice florescence",medium,yes
258,mc-c-258,archaeology_ad200_400,ad200_400,"Cascade of urban falls",Mormon 4–5,"City loss chain",medium,no
259,mc-c-259,archaeology_ad200_400,ad200_400,"Terminal record caching",Mormon 6:6,"End deposits",low,yes
260,mc-c-260,archaeology_ad200_400,ad200_400,"Survivor diaspora",Mormon 6:15|Moroni 1,"Refugees",medium,no
261,mc-c-261,archaeology_ad200_400,ad200_400,"Literary end of a people",Mormon 8|Ether 15,"Collapse narratives",medium,no
262,mc-c-262,archaeology_ad200_400,ad200_400,"Multi-enemy collapse (robbers + Lamanites)",Mormon 1–2,"Dual threats",medium,no
263,mc-c-263,archaeology_ad200_400,ad200_400,"Crisis moral literature",Moroni 9,"Terminal generation texts",low,no
264,mc-c-264,archaeology_ad200_400,ad200_400,"Era-ending consciousness",Mormon 2|Mormon 8,"End of age rhetoric",low,yes
265,mc-c-265,warfare,multi,"Seasonal logistics constraint (1)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 1; verify in book",low,no
266,mc-c-266,warfare,multi,"Captive display motif (1)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 1; verify in book",low,yes
267,mc-c-267,material_culture,multi,"Elite costume detail (1)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 1; verify in book",low,no
268,mc-c-268,society,multi,"Urban craft specialization (1)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 1; verify in book",low,no
269,mc-c-269,society,multi,"Patron-client ties (1)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 1; verify in book",low,no
270,mc-c-270,political_economy,multi,"Core valley control (1)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 1; verify in book",medium,no
271,mc-c-271,political_economy,multi,"Exotic goods exchange (1)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 1; verify in book",medium,no
272,mc-c-272,government,multi,"Succession crisis pattern (1)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 1; verify in book",medium,no
273,mc-c-273,government,multi,"Provincial revolt pattern (1)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 1; verify in book",medium,no
274,mc-c-274,ideology_religion,multi,"Public fasting ritual (1)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 1; verify in book",low,no
275,mc-c-275,writing_records,multi,"Monumental text function (1)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 1; verify in book",medium,no
276,mc-c-276,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (1)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 1; verify in book",medium,no
277,mc-c-277,archaeology_ad200_400,ad200_400,"Collapse pressure model (1)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 1; verify in book",low,yes
278,mc-c-278,material_culture,multi,"Storage against famine (1)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 1; verify in book",medium,no
279,mc-c-279,warfare,multi,"Standardized unit command (1)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 1; verify in book",medium,no
280,mc-c-280,warfare,multi,"Seasonal logistics constraint (2)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 2; verify in book",low,no
281,mc-c-281,warfare,multi,"Captive display motif (2)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 2; verify in book",low,yes
282,mc-c-282,material_culture,multi,"Elite costume detail (2)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 2; verify in book",low,no
283,mc-c-283,society,multi,"Urban craft specialization (2)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 2; verify in book",low,no
284,mc-c-284,society,multi,"Patron-client ties (2)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 2; verify in book",low,no
285,mc-c-285,political_economy,multi,"Core valley control (2)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 2; verify in book",medium,no
286,mc-c-286,political_economy,multi,"Exotic goods exchange (2)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 2; verify in book",medium,no
287,mc-c-287,government,multi,"Succession crisis pattern (2)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 2; verify in book",medium,no
288,mc-c-288,government,multi,"Provincial revolt pattern (2)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 2; verify in book",medium,no
289,mc-c-289,ideology_religion,multi,"Public fasting ritual (2)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 2; verify in book",low,no
290,mc-c-290,writing_records,multi,"Monumental text function (2)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 2; verify in book",medium,no
291,mc-c-291,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (2)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 2; verify in book",medium,no
292,mc-c-292,archaeology_ad200_400,ad200_400,"Collapse pressure model (2)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 2; verify in book",low,yes
293,mc-c-293,material_culture,multi,"Storage against famine (2)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 2; verify in book",medium,no
294,mc-c-294,warfare,multi,"Standardized unit command (2)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 2; verify in book",medium,no
295,mc-c-295,warfare,multi,"Seasonal logistics constraint (3)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 3; verify in book",low,no
296,mc-c-296,warfare,multi,"Captive display motif (3)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 3; verify in book",low,yes
297,mc-c-297,material_culture,multi,"Elite costume detail (3)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 3; verify in book",low,no
298,mc-c-298,society,multi,"Urban craft specialization (3)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 3; verify in book",low,no
299,mc-c-299,society,multi,"Patron-client ties (3)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 3; verify in book",low,no
300,mc-c-300,political_economy,multi,"Core valley control (3)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 3; verify in book",medium,no
301,mc-c-301,political_economy,multi,"Exotic goods exchange (3)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 3; verify in book",medium,no
302,mc-c-302,government,multi,"Succession crisis pattern (3)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 3; verify in book",medium,no
303,mc-c-303,government,multi,"Provincial revolt pattern (3)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 3; verify in book",medium,no
304,mc-c-304,ideology_religion,multi,"Public fasting ritual (3)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 3; verify in book",low,no
305,mc-c-305,writing_records,multi,"Monumental text function (3)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 3; verify in book",medium,no
306,mc-c-306,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (3)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 3; verify in book",medium,no
307,mc-c-307,archaeology_ad200_400,ad200_400,"Collapse pressure model (3)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 3; verify in book",low,yes
308,mc-c-308,material_culture,multi,"Storage against famine (3)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 3; verify in book",medium,no
309,mc-c-309,warfare,multi,"Standardized unit command (3)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 3; verify in book",medium,no
310,mc-c-310,warfare,multi,"Seasonal logistics constraint (4)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 4; verify in book",low,no
311,mc-c-311,warfare,multi,"Captive display motif (4)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 4; verify in book",low,yes
312,mc-c-312,material_culture,multi,"Elite costume detail (4)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 4; verify in book",low,no
313,mc-c-313,society,multi,"Urban craft specialization (4)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 4; verify in book",low,no
314,mc-c-314,society,multi,"Patron-client ties (4)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 4; verify in book",low,no
315,mc-c-315,political_economy,multi,"Core valley control (4)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 4; verify in book",medium,no
316,mc-c-316,political_economy,multi,"Exotic goods exchange (4)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 4; verify in book",medium,no
317,mc-c-317,government,multi,"Succession crisis pattern (4)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 4; verify in book",medium,no
318,mc-c-318,government,multi,"Provincial revolt pattern (4)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 4; verify in book",medium,no
319,mc-c-319,ideology_religion,multi,"Public fasting ritual (4)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 4; verify in book",low,no
320,mc-c-320,writing_records,multi,"Monumental text function (4)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 4; verify in book",medium,no
321,mc-c-321,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (4)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 4; verify in book",medium,no
322,mc-c-322,archaeology_ad200_400,ad200_400,"Collapse pressure model (4)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 4; verify in book",low,yes
323,mc-c-323,material_culture,multi,"Storage against famine (4)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 4; verify in book",medium,no
324,mc-c-324,warfare,multi,"Standardized unit command (4)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 4; verify in book",medium,no
325,mc-c-325,warfare,multi,"Seasonal logistics constraint (5)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 5; verify in book",low,no
326,mc-c-326,warfare,multi,"Captive display motif (5)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 5; verify in book",low,yes
327,mc-c-327,material_culture,multi,"Elite costume detail (5)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 5; verify in book",low,no
328,mc-c-328,society,multi,"Urban craft specialization (5)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 5; verify in book",low,no
329,mc-c-329,society,multi,"Patron-client ties (5)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 5; verify in book",low,no
330,mc-c-330,political_economy,multi,"Core valley control (5)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 5; verify in book",medium,no
331,mc-c-331,political_economy,multi,"Exotic goods exchange (5)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 5; verify in book",medium,no
332,mc-c-332,government,multi,"Succession crisis pattern (5)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 5; verify in book",medium,no
333,mc-c-333,government,multi,"Provincial revolt pattern (5)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 5; verify in book",medium,no
334,mc-c-334,ideology_religion,multi,"Public fasting ritual (5)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 5; verify in book",low,no
335,mc-c-335,writing_records,multi,"Monumental text function (5)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 5; verify in book",medium,no
336,mc-c-336,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (5)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 5; verify in book",medium,no
337,mc-c-337,archaeology_ad200_400,ad200_400,"Collapse pressure model (5)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 5; verify in book",low,yes
338,mc-c-338,material_culture,multi,"Storage against famine (5)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 5; verify in book",medium,no
339,mc-c-339,warfare,multi,"Standardized unit command (5)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 5; verify in book",medium,no
340,mc-c-340,warfare,multi,"Seasonal logistics constraint (6)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 6; verify in book",low,no
341,mc-c-341,warfare,multi,"Captive display motif (6)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 6; verify in book",low,yes
342,mc-c-342,material_culture,multi,"Elite costume detail (6)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 6; verify in book",low,no
343,mc-c-343,society,multi,"Urban craft specialization (6)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 6; verify in book",low,no
344,mc-c-344,society,multi,"Patron-client ties (6)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 6; verify in book",low,no
345,mc-c-345,political_economy,multi,"Core valley control (6)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 6; verify in book",medium,no
346,mc-c-346,political_economy,multi,"Exotic goods exchange (6)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 6; verify in book",medium,no
347,mc-c-347,government,multi,"Succession crisis pattern (6)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 6; verify in book",medium,no
348,mc-c-348,government,multi,"Provincial revolt pattern (6)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 6; verify in book",medium,no
349,mc-c-349,ideology_religion,multi,"Public fasting ritual (6)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 6; verify in book",low,no
350,mc-c-350,writing_records,multi,"Monumental text function (6)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 6; verify in book",medium,no
351,mc-c-351,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (6)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 6; verify in book",medium,no
352,mc-c-352,archaeology_ad200_400,ad200_400,"Collapse pressure model (6)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 6; verify in book",low,yes
353,mc-c-353,material_culture,multi,"Storage against famine (6)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 6; verify in book",medium,no
354,mc-c-354,warfare,multi,"Standardized unit command (6)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 6; verify in book",medium,no
355,mc-c-355,warfare,multi,"Seasonal logistics constraint (7)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 7; verify in book",low,no
356,mc-c-356,warfare,multi,"Captive display motif (7)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 7; verify in book",low,yes
357,mc-c-357,material_culture,multi,"Elite costume detail (7)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 7; verify in book",low,no
358,mc-c-358,society,multi,"Urban craft specialization (7)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 7; verify in book",low,no
359,mc-c-359,society,multi,"Patron-client ties (7)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 7; verify in book",low,no
360,mc-c-360,political_economy,multi,"Core valley control (7)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 7; verify in book",medium,no
361,mc-c-361,political_economy,multi,"Exotic goods exchange (7)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 7; verify in book",medium,no
362,mc-c-362,government,multi,"Succession crisis pattern (7)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 7; verify in book",medium,no
363,mc-c-363,government,multi,"Provincial revolt pattern (7)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 7; verify in book",medium,no
364,mc-c-364,ideology_religion,multi,"Public fasting ritual (7)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 7; verify in book",low,no
365,mc-c-365,writing_records,multi,"Monumental text function (7)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 7; verify in book",medium,no
366,mc-c-366,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (7)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 7; verify in book",medium,no
367,mc-c-367,archaeology_ad200_400,ad200_400,"Collapse pressure model (7)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 7; verify in book",low,yes
368,mc-c-368,material_culture,multi,"Storage against famine (7)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 7; verify in book",medium,no
369,mc-c-369,warfare,multi,"Standardized unit command (7)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 7; verify in book",medium,no
370,mc-c-370,warfare,multi,"Seasonal logistics constraint (8)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 8; verify in book",low,no
371,mc-c-371,warfare,multi,"Captive display motif (8)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 8; verify in book",low,yes
372,mc-c-372,material_culture,multi,"Elite costume detail (8)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 8; verify in book",low,no
373,mc-c-373,society,multi,"Urban craft specialization (8)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 8; verify in book",low,no
374,mc-c-374,society,multi,"Patron-client ties (8)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 8; verify in book",low,no
375,mc-c-375,political_economy,multi,"Core valley control (8)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 8; verify in book",medium,no
376,mc-c-376,political_economy,multi,"Exotic goods exchange (8)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 8; verify in book",medium,no
377,mc-c-377,government,multi,"Succession crisis pattern (8)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 8; verify in book",medium,no
378,mc-c-378,government,multi,"Provincial revolt pattern (8)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 8; verify in book",medium,no
379,mc-c-379,ideology_religion,multi,"Public fasting ritual (8)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 8; verify in book",low,no
380,mc-c-380,writing_records,multi,"Monumental text function (8)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 8; verify in book",medium,no
381,mc-c-381,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (8)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 8; verify in book",medium,no
382,mc-c-382,archaeology_ad200_400,ad200_400,"Collapse pressure model (8)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 8; verify in book",low,yes
383,mc-c-383,material_culture,multi,"Storage against famine (8)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 8; verify in book",medium,no
384,mc-c-384,warfare,multi,"Standardized unit command (8)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 8; verify in book",medium,no
385,mc-c-385,warfare,multi,"Seasonal logistics constraint (9)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 9; verify in book",low,no
386,mc-c-386,warfare,multi,"Captive display motif (9)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 9; verify in book",low,yes
387,mc-c-387,material_culture,multi,"Elite costume detail (9)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 9; verify in book",low,no
388,mc-c-388,society,multi,"Urban craft specialization (9)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 9; verify in book",low,no
389,mc-c-389,society,multi,"Patron-client ties (9)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 9; verify in book",low,no
390,mc-c-390,political_economy,multi,"Core valley control (9)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 9; verify in book",medium,no
391,mc-c-391,political_economy,multi,"Exotic goods exchange (9)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 9; verify in book",medium,no
392,mc-c-392,government,multi,"Succession crisis pattern (9)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 9; verify in book",medium,no
393,mc-c-393,government,multi,"Provincial revolt pattern (9)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 9; verify in book",medium,no
394,mc-c-394,ideology_religion,multi,"Public fasting ritual (9)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 9; verify in book",low,no
395,mc-c-395,writing_records,multi,"Monumental text function (9)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 9; verify in book",medium,no
396,mc-c-396,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (9)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 9; verify in book",medium,no
397,mc-c-397,archaeology_ad200_400,ad200_400,"Collapse pressure model (9)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 9; verify in book",low,yes
398,mc-c-398,material_culture,multi,"Storage against famine (9)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 9; verify in book",medium,no
399,mc-c-399,warfare,multi,"Standardized unit command (9)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 9; verify in book",medium,no
400,mc-c-400,warfare,multi,"Seasonal logistics constraint (10)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 10; verify in book",low,no
401,mc-c-401,warfare,multi,"Captive display motif (10)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 10; verify in book",low,yes
402,mc-c-402,material_culture,multi,"Elite costume detail (10)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 10; verify in book",low,no
403,mc-c-403,society,multi,"Urban craft specialization (10)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 10; verify in book",low,no
404,mc-c-404,society,multi,"Patron-client ties (10)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 10; verify in book",low,no
405,mc-c-405,political_economy,multi,"Core valley control (10)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 10; verify in book",medium,no
406,mc-c-406,political_economy,multi,"Exotic goods exchange (10)",Helaman 6:9,"Exotics trade — Codex-scale bucket expansion 10; verify in book",medium,no
407,mc-c-407,government,multi,"Succession crisis pattern (10)",Helaman 1|Ether 7–9,"Succession wars — Codex-scale bucket expansion 10; verify in book",medium,no
408,mc-c-408,government,multi,"Provincial revolt pattern (10)",Alma 51|Alma 61,"Province vs capital — Codex-scale bucket expansion 10; verify in book",medium,no
409,mc-c-409,ideology_religion,multi,"Public fasting ritual (10)",Alma 30|Helaman 9,"Communal fasting — Codex-scale bucket expansion 10; verify in book",low,no
410,mc-c-410,writing_records,multi,"Monumental text function (10)",Omni 1:20|Helaman 7,"Public inscriptions — Codex-scale bucket expansion 10; verify in book",medium,no
411,mc-c-411,archaeology_600bc_1bc,600bc_1bc,"Regional alliance horizon (10)",Alma 43–48,"Alliance horizons — Codex-scale bucket expansion 10; verify in book",medium,no
412,mc-c-412,archaeology_ad200_400,ad200_400,"Collapse pressure model (10)",Mormon 1–6,"Collapse analogies — Codex-scale bucket expansion 10; verify in book",low,yes
413,mc-c-413,material_culture,multi,"Storage against famine (10)",Helaman 11|3 Nephi 4,"Storage tech — Codex-scale bucket expansion 10; verify in book",medium,no
414,mc-c-414,warfare,multi,"Standardized unit command (10)",Alma 2|Mormon 6,"Unit hierarchy — Codex-scale bucket expansion 10; verify in book",medium,no
415,mc-c-415,warfare,multi,"Seasonal logistics constraint (11)",Alma 53–58,"Wet/dry season limits — Codex-scale bucket expansion 11; verify in book",low,no
416,mc-c-416,warfare,multi,"Captive display motif (11)",Alma 17–20|Alma 55,"Captive presentation — Codex-scale bucket expansion 11; verify in book",low,yes
417,mc-c-417,material_culture,multi,"Elite costume detail (11)",Alma 1:29|Alma 31,"Costume in art — Codex-scale bucket expansion 11; verify in book",low,no
418,mc-c-418,society,multi,"Urban craft specialization (11)",Helaman 6|3 Nephi 6,"Craft barrios — Codex-scale bucket expansion 11; verify in book",low,no
419,mc-c-419,society,multi,"Patron-client ties (11)",Alma 32|Alma 60,"Elite patronage — Codex-scale bucket expansion 11; verify in book",low,no
420,mc-c-420,political_economy,multi,"Core valley control (11)",Alma 22|Mosiah 9,"Agricultural cores — Codex-scale bucket expansion 11; verify in book",medium,no
